Title,Designation,Score,Pos_Val,Neg_Val,Neu_Val
The Adventures of Two Alabama Boys,pos,48.18652849740933,0.48186528497409326,0.22901554404145077,0.28911917098445594
"Autobiography and Biography of Rev. Joseph Caldwell, D.D., L.L.D., First President of the University of North Carolina",pos,59.28473177441541,0.5928473177441541,0.2530949105914718,0.15405777166437415
Autobiography and Reminiscences of John W. Carroll,pos,51.114413075780085,0.5111441307578009,0.2852897473997028,0.20356612184249628
"Autobiography of Asa Biggs, Including a Journal of a Trip from North Carolina to New York in 1832",pos,57.69944341372912,0.5769944341372912,0.23933209647495363,0.1836734693877551
"Autobiography of Bishop Isaac Lane, LL.D. with a Short History of the C.M.E. Church in America and of Methodism",pos,57.49751737835154,0.5749751737835154,0.13406156901688182,0.29096325719960275
Autobiography of Col. Richard Malcolm Johnston,pos,49.9404052443385,0.499404052443385,0.2467222884386174,0.25387365911799764
"Autobiography of John G. Fee: Berea, Kentucky",pos,45.16400336417157,0.45164003364171573,0.25988225399495374,0.28847771236333053
The Autobiography of Joseph LeConte,pos,56.029106029106025,0.5602910602910602,0.2053014553014553,0.2344074844074844
Autobiography of Lemuel Sawyer: Formerly Member of Congress from North Carolina,pos,52.86624203821656,0.5286624203821656,0.3019108280254777,0.16942675159235668
Belle Boyd in Camp and Prison. In Two Volumes. Vol. I.,pos,47.76444929116685,0.4776444929116685,0.3936750272628135,0.128680479825518
Belle Boyd in Camp and Prison. In Two Volumes. Vol. II.,pos,44.45812807881773,0.4445812807881773,0.3620689655172414,0.1933497536945813
"A Belle of the Fifties: Memoirs of Mrs. Clay, of Alabama, Covering Social and Political Life in Washington and the South, 1853-66",pos,57.14780200761509,0.5714780200761509,0.2751817237798546,0.15334025614399446
"Bill Arp from the Uncivil War to Date, 1861-1903",pos,52.68414481897628,0.5268414481897628,0.28963795255930086,0.18352059925093633
Biography of James Patton,pos,49.76190476190476,0.4976190476190476,0.2714285714285714,0.23095238095238096
"Biography of Rev. David Smith of the A. M. E. Church; Being a Complete History, Embracing over Sixty Years' Labor in the Advancement of the Redeemer's Kingdom on Earth. Including ""The History of the Origin and Development of Wilberforce University.""",pos,52.6774595267746,0.526774595267746,0.14570361145703611,0.3275217932752179
Bits of Gossip,pos,47.50778816199377,0.4750778816199377,0.29127725856697817,0.2336448598130841
"A Boy's Experience in the Civil War, 1860-1865",pos,48.40085287846482,0.4840085287846482,0.3411513859275053,0.17484008528784648
"A Brief History of the Slave Life of Rev. L. R. Ferebee, and the Battles of Life, and Four Years of His Ministerial Life. Written from Memory. To 1882",pos,36.81592039800995,0.3681592039800995,0.2835820895522388,0.3482587064676617
